Tag Name,Address,Data Type,Respect Data Type,Client Access,Scan Rate,Scaling,Raw Low,Raw High,Scaled Low,Scaled High,Scaled Data Type,Clamp Low,Clamp High,Eng Units,Description,Negate Value
"Agitador_MV","USER (1000,0,1)",Boolean,1,RO,100,,,,,,,,,,"Status do agitador",
"AlarmeNivelAlto","USER (1000,0,1)",Boolean,1,RO,100,,,,,,,,,,"Alarme de nível alto",
"AlarmeTempAlta","USER (1000,0,0)",Boolean,1,RO,100,,,,,,,,,,"Alarme de temperatura alta",
"Brix_PV","RANDOM (1000, 0.000000, 17.515740)",Float,1,RO,100,,,,,,,,,,"Concentração de açúcar (°Brix)",
"CO2_PV","RANDOM (1000, 0.000000, 10.335073)",Float,1,RO,100,,,,,,,,,,"Liberação de CO2 (kg/h)",
"DosagemLevedura_MV","RANDOM (2000, 0.000000, 9.518321)",Float,1,RO,100,,,,,,,,,,"Controle da dosagem de levedura (%)",
"DosagemNutriente_MV","RANDOM (2000, 0.000000, 14.639434)",Float,1,RO,100,,,,,,,,,,"Controle da dosagem de nutrientes (%)",
"Etanol_PV","RANDOM (1000, 0.000000, 18.481599)",Float,1,RO,100,,,,,,,,,,"Concentração de etanol (%)",
"Etanol_SP","RANDOM (1000, 11.778032, 12.639701)",Float,1,RO,100,,,,,,,,,,"Meta de etanol (%)",
"Misturador_MV","USER (1000,0,1)",Boolean,1,RO,100,,,,,,,,,,"Misturador de ingredientes",
"Nivel_SP","RANDOM (1000, 78.000000, 82.000000)",Float,1,RO,100,,,,,,,,,,"Setpoint de nível da dorna (%)",
"NivelDorna_PV","RANDOM (1000, 0.000000, 95.595144)",Float,1,RO,100,,,,,,,,,,"Nível da dorna (%)",
"pH_PV","RANDOM (1000, 2.871203, 6.528342)",Float,1,RO,100,,,,,,,,,,"pH da fermentação",
"Pressao_PV","RANDOM (1000, 0.952290, 1.562448)",Float,1,RO,100,,,,,,,,,,"Pressão interna (bar)",
"Pressao_SP","RANDOM (1000, 1.079210, 1.324148)",Float,1,RO,100,,,,,,,,,,"Setpoint de pressão (bar)",
"Resfriamento_MV","RANDOM (1000, 0.000000, 103.293704)",Float,1,RO,100,,,,,,,,,,"Controle de resfriamento (%)",
"Status_Fermentacao","USER (1000,0,1)",Boolean,1,RO,100,,,,,,,,,,"Status da fermentação",
"TempEntradaMosto_PV","RANDOM (1000, 25.352258, 32.529896)",Float,1,RO,100,,,,,,,,,,"Temperatura do mosto na entrada",
"Temperatura_PV","RANDOM (1000, 30.696060, 34.579941)",Float,1,RO,100,,,,,,,,,,"Temperatura da dorna (°C)",
"Temperatura_SP","RANDOM (1000, 30.659862, 31.784960)",Float,1,RO,100,,,,,,,,,,"Setpoint de temperatura (°C)",
"TempSaidaVinho_PV","RANDOM (1000, 30.679242, 35.204801)",Float,1,RO,100,,,,,,,,,,"Temperatura do vinho na saída",
"Valvula_Entrada_MV","USER (1000,1,0)",Boolean,1,RO,100,,,,,,,,,,"Estado da válvula de entrada",
"Valvula_Excesso_MV","USER (1000,1,0)",Boolean,1,RO,100,,,,,,,,,,"Válvula de excesso da dorna",
"Valvula_Saida_MV","USER (1000,0,1)",Boolean,1,RO,100,,,,,,,,,,"Estado da válvula de saída",
"VazaoAgua_PV","RANDOM (1000, 0.000000, 14.933672)",Float,1,RO,100,,,,,,,,,,"Vazão de água (L/min)",
"VazaoLevedura_PV","RANDOM (1000, 0.000000, 4.997796)",Float,1,RO,100,,,,,,,,,,"Vazão de levedura (L/min)",
"VazaoMosto_PV","RANDOM (1000, 0.000000, 48.907114)",Float,1,RO,100,,,,,,,,,,"Vazão do mosto (L/min)",
"VinhoPronto","USER (1000,0,1)",Boolean,1,RO,100,,,,,,,,,,"Indica se o vinho está pronto",
"Volume_PV","RANDOM (1000, 498.356006, 780.226430)",Float,1,RO,100,,,,,,,,,,"Volume da dorna (litros)",
