Tag Name,Address,Data Type,Respect Data Type,Client Access,Scan Rate,Scaling,Raw Low,Raw High,Scaled Low,Scaled High,Scaled Data Type,Clamp Low,Clamp High,Eng Units,Description,Negate Value
Dorna02.Agitador_MV,"USER (1000,0,1)",Boolean,1,RO,100,,,,,,,,,,Status do agitador,
Dorna02.AlarmeNivelAlto,"USER (1000,0,1)",Boolean,1,RO,100,,,,,,,,,,Alarme de nível alto,
Dorna02.AlarmeTempAlta,"USER (1000,0,0)",Boolean,1,RO,100,,,,,,,,,,Alarme de temperatura alta,
Dorna02.Brix_PV,"RANDOM (1000, 0.0, 17.51574)",Float,1,RO,100,,,,,,,,,,Concentração de açúcar (°Brix),
Dorna02.CO2_PV,"RANDOM (1000, 0.0, 10.335073)",Float,1,RO,100,,,,,,,,,,Liberação de CO2 (kg/h),
Dorna02.DosagemLevedura_MV,"RANDOM (2000, 0.0, 9.518321)",Float,1,RO,100,,,,,,,,,,Controle da dosagem de levedura (%),
Dorna02.DosagemNutriente_MV,"RANDOM (2000, 0.0, 14.639434)",Float,1,RO,100,,,,,,,,,,Controle da dosagem de nutrientes (%),
Dorna02.Etanol_PV,"RANDOM (1000, 0.0, 18.481599)",Float,1,RO,100,,,,,,,,,,Concentração de etanol (%),
Dorna02.Etanol_SP,"RANDOM (1000, 11.778032, 12.639701)",Float,1,RO,100,,,,,,,,,,Meta de etanol (%),
Dorna02.Misturador_MV,"USER (1000,0,1)",Boolean,1,RO,100,,,,,,,,,,Misturador de ingredientes,
Dorna02.Nivel_SP,"RANDOM (1000, 80.202597, 79.544958)",Float,1,RO,100,,,,,,,,,,Setpoint de nível da dorna (%),
Dorna02.NivelDorna_PV,"RANDOM (1000, 0.0, 95.595144)",Float,1,RO,100,,,,,,,,,,Nível da dorna (%),
Dorna02.pH_PV,"RANDOM (1000, 2.871203, 6.528342)",Float,1,RO,100,,,,,,,,,,pH da fermentação,
Dorna02.Pressao_PV,"RANDOM (1000, 0.95229, 1.562448)",Float,1,RO,100,,,,,,,,,,Pressão interna (bar),
Dorna02.Pressao_SP,"RANDOM (1000, 1.07921, 1.324148)",Float,1,RO,100,,,,,,,,,,Setpoint de pressão (bar),
Dorna02.Resfriamento_MV,"RANDOM (1000, 0.0, 103.293704)",Float,1,RO,100,,,,,,,,,,Controle de resfriamento (%),
Dorna02.Status_Fermentacao,"USER (1000,0,1)",Boolean,1,RO,100,,,,,,,,,,Status da fermentação,
Dorna02.TempEntradaMosto_PV,"RANDOM (1000, 25.352258, 32.529896)",Float,1,RO,100,,,,,,,,,,Temperatura do mosto na entrada,
Dorna02.Temperatura_PV,"RANDOM (1000, 30.69606, 34.579941)",Float,1,RO,100,,,,,,,,,,Temperatura da dorna (°C),
Dorna02.Temperatura_SP,"RANDOM (1000, 30.659862, 31.78496)",Float,1,RO,100,,,,,,,,,,Setpoint de temperatura (°C),
Dorna02.TempSaidaVinho_PV,"RANDOM (1000, 30.679242, 35.204801)",Float,1,RO,100,,,,,,,,,,Temperatura do vinho na saída,
Dorna02.Valvula_Entrada_MV,"USER (1000,1,0)",Boolean,1,RO,100,,,,,,,,,,Estado da válvula de entrada,
Dorna02.Valvula_Excesso_MV,"USER (1000,1,0)",Boolean,1,RO,100,,,,,,,,,,Válvula de excesso da dorna,
Dorna02.Valvula_Saida_MV,"USER (1000,0,1)",Boolean,1,RO,100,,,,,,,,,,Estado da válvula de saída,
Dorna02.VazaoAgua_PV,"RANDOM (1000, 0.0, 14.933672)",Float,1,RO,100,,,,,,,,,,Vazão de água (L/min),
Dorna02.VazaoLevedura_PV,"RANDOM (1000, 0.0, 4.997796)",Float,1,RO,100,,,,,,,,,,Vazão de levedura (L/min),
Dorna02.VazaoMosto_PV,"RANDOM (1000, 0.0, 48.907114)",Float,1,RO,100,,,,,,,,,,Vazão do mosto (L/min),
Dorna02.VinhoPronto,"USER (1000,0,1)",Boolean,1,RO,100,,,,,,,,,,Indica se o vinho está pronto,
Dorna02.Volume_PV,"RANDOM (1000, 498.356006, 780.22643)",Float,1,RO,100,,,,,,,,,,Volume da dorna (litros),
